Genes,logFC,P.Value
0610006L08RIK,6.124109504,0.000310581
0610007P14RIK,-0.533405509,0.00094307
0610009B22RIK,-0.714086223,0.000391681
0610009B22RIK,-0.975548062,6.23E-08
0610009L18RIK,-0.975475201,0.025418868
0610010F05RIK,-0.537707982,4.15E-11
0610011F06RIK,-0.654512317,0.000133423
0610011F06RIK,-0.574852131,0.000454346
0610011F06RIK,-0.899598545,0.039457175
0610012G03RIK,-0.708558553,2.92E-05
0610012G03RIK,-0.551828266,0.00042262
0710001D07RIK,-0.939388491,0.007517624
1110001A07RIK,-0.505566919,0.023415199
1110002J07RIK,1.801266021,0.000209184
1110007M04RIK,-0.776640197,2.52E-05
1110008P14RIK,-0.916084418,4.61E-05
1110008P14RIK,-1.444419085,1.01E-31
1110008P14RIK,-0.957620966,0.001304332
1110008P14RIK,-0.543021037,0.047584737
1110012J17RIK,-0.50927448,0.000787624
1110012J17RIK,-0.809471963,0.038222677
1110015O18RIK,-1.093041604,0.036234015
1110018F16RIK,-0.786155751,0.042449704
1110018N20RIK,-1.319745086,3.53E-06
1110028C15RIK,-0.56311313,0.037214346
1110032A03RIK,-1.124482682,7.66E-16
1110032A04RIK,-0.658369529,0.009713958
1110032F04RIK,-0.702128945,0.000114417
1110032F04RIK,-1.821208402,1.05E-12
1110034G24RIK,-0.627977655,0.015412328
1110037F02RIK,-0.765998094,0.014645938
1110038B12RIK,1.581722733,3.30E-15
1110051M20RIK,-0.514637759,0.000234372
1110051M20RIK,-0.593794797,0.000634473
1110058L19RIK,-0.978495254,0.001454468
1110065P20RIK,-1.045964122,0.000312538
1190002N15RIK,-1.059047596,0.000299495
1190003M12RIK,-1.630094859,0.000265782
1190007I07RIK,-0.714529345,0.047742089
1200003C05RIK,-1.132781281,0.000328272
1200003C05RIK,-0.803216353,0.016032826
1300002E11RIK,-0.52967327,0.013797122
1300010F03RIK,-0.696468593,0.012281003
1300017J02RIK,4.659512341,5.54E-35
1500003O03RIK,-0.511819847,0.013458155
1500009C09RIK,6.866673346,1.64E-05
1500009L16RIK,-0.874643249,6.38E-05
1500015O10RIK,-1.174573643,0.003020609
1500026H17RIK,-1.717704525,5.49E-06
1500031L02RIK,-0.58650685,0.023040618
1600002D24RIK,4.280935377,7.79E-07
1600002K03RIK,-0.702300707,0.015842898
1600014C10RIK,1.769312267,0.049437092
1600020E01RIK,1.568223024,1.76E-22
1700001J03RIK,3.77525035,1.25E-08
1700001L05RIK,-0.617701899,0.022517451
1700001L19RIK,-0.603791706,0.002049263
1700001L19RIK,-2.056464509,6.55E-16
1700001O22RIK,-0.952686472,0.033486701
1700003E16RIK,-0.534436596,0.001135466
1700003E16RIK,-1.670442664,3.24E-19
1700003M07RIK,-2.591784069,6.89E-24
1700006H20RIK,4.072775697,0.001246748
1700008K24RIK,3.087498874,0.002178768
1700008O03RIK,1.94265377,1.39E-09
1700009C05RIK,5.26092541,0.004826863
1700009J07RIK,-0.606229621,0.009579912
1700010I02RIK,5.530092965,0.00201092
1700010J16RIK,4.003315253,0.002050202
1700012A03RIK,6.254709261,0.000170957
1700012A16RIK,-0.57518812,0.010072849
1700012B07RIK,4.127451986,0.018837634
1700012I11RIK,2.92836977,4.55E-07
1700013D24RIK,6.842325207,1.89E-05
1700015I17RIK,2.880929111,0.00845232
1700016D06RIK,3.449728009,0.011998138
1700016K19RIK,-1.020844188,0.029713687
1700017B05RIK,2.460558518,2.89E-118
1700018A23RIK,-0.938643815,4.85E-06
1700019A02RIK,-1.285977388,0.017687049
1700019J19RIK,2.257745478,0.042003651
1700019N12RIK,-1.474932637,0.03061193
1700019N12RIK,-1.167476154,0.033800243
1700020C11RIK,-0.858926842,0.000500908
1700020D12RIK,5.036641016,0.010230003
1700020N01RIK,5.050141669,1.42E-05
1700021K19RIK,-0.71751012,0.002835347
1700021L23RIK,5.40673289,0.003306685
1700022I11RIK,2.930718135,9.57E-08
1700022I11RIK,6.146992707,2.08E-08
1700022N22RIK,1.718753405,3.14E-05
1700023F02RIK,2.19417895,0.00945614
1700024N05RIK,5.125884582,0.006827672
1700025C18RIK,6.241082978,0.000188077
1700025G04RIK,-1.272648445,2.58E-05
1700025G04RIK,-0.790781718,0.000765762
1700025G04RIK,-0.729524477,8.43E-22
1700025G04RIK,-0.507629514,0.001136426
1700025G04RIK,-0.53081483,0.018421646
1700026F02RIK,2.466640427,0.000367272
1700026J12RIK,5.443877581,0.003011692
1700027H10RIK,-1.363712115,4.82E-13
1700027I24RIK,7.416162864,1.71E-06
1700028D13RIK,4.3380233,0.046667936
1700028M03RIK,6.53026293,6.14E-05
1700029J03RIK,6.800478688,2.13E-05
1700030F04RIK,-2.330725099,4.67E-07
1700030J22RIK,-1.335195466,6.36E-07
1700031L13RIK,4.51853765,0.030315484
1700031M16RIK,4.879190988,0.014715497
1700034H14RIK,-1.152419175,0.005365251
1700036A12RIK,4.078974363,0.001757646
1700037F03RIK,1.557044157,1.21E-05
1700037H04RIK,-0.547152998,0.000295
1700040D17RIK,-1.337702509,8.15E-06
1700041C23RIK,7.621396744,6.60E-07
1700045H11RIK,3.764479949,0.003956584
1700047E10RIK,4.518853671,0.030727454
1700047G03RIK,5.061817505,0.008271725
1700047M11RIK,-1.846102692,4.03E-07
1700049E15RIK,6.751579985,2.74E-05
1700056E22RIK,4.813512346,0.003785574
1700057G04RIK,5.904540948,0.000665818
1700057H15RIK,1.731213073,0.035195456
1700060C16RIK,3.323634433,0.000680118
1700061I17RIK,5.209284065,0.006050468
1700061J23RIK,5.843670768,0.000905699
1700064J06RIK,4.829439113,0.014992151
1700065O13RIK,-0.544029931,0.004568537
1700066M21RIK,-0.92362407,1.92E-12
1700067K01RIK,-1.107599857,0.042893273
1700071K01RIK,-0.56756787,0.001336723
1700072I22RIK,3.927321182,0.003119958
1700072O05RIK,6.869403212,1.75E-05
1700086D15RIK,-0.574078968,0.001153205
1700086P04RIK,1.594768461,0.002544063
1700091J24RIK,4.811391714,0.016214063
1700093J21RIK,-0.502207099,0.024954698
1700095J07RIK,4.740139507,0.019062059
1700105F02RIK,3.058993826,0.003411393
1700108F19RIK,5.166432187,0.006064685
1700109G14RIK,5.924466967,0.000549438
1700111N16RIK,4.692498621,3.30E-15
1700112J05RIK,4.159895626,0.01831133
1700112J16RIK,-2.599520676,1.41E-06
1700113H08RIK,3.452728289,2.72E-15
1700113O17RIK,-0.592339836,0.002169889
1700120G07RIK,4.471097111,0.039312002
1700123M08RIK,-0.59516636,0.025924649
1700125H20RIK,1.974202009,0.000437945
1700126G02RIK,5.127079938,0.001558925
1700126H18RIK,4.623088603,0.024560634
1700128A07RIK,7.079023868,6.79E-06
1810014B01RIK,-1.592578235,0.000117716
1810015C11RIK,-0.871209729,0.002926099
1810026B05RIK,-0.71649228,0.008726798
1810033B17RIK,1.730437933,0.000318632
1810035L17RIK,-2.2828435,0.02145326
1810041L15RIK,-0.768003867,0.008234837
1810046K07RIK,3.904599759,0.002635348
1810048J11RIK,-0.899401037,0.005454481
1810048J11RIK,-0.829140412,0.011134815
1810053B23RIK,5.431418443,0.0029009
1810063B05RIK,-1.279927729,0.003912432
1810073O08RIK,4.655116613,0.037724159
2010003D24RIK,-0.626632256,0.011187044
2010009K17RIK,2.047641828,2.87E-05
2010106E10RIK,2.660619642,0.014738033
2010203P06RIK,5.311309027,0.003902967
2010204K13RIK,-1.107487106,3.22E-05
2010309E21RIK,-0.505781595,0.004576246
2010310C07RIK,4.342048459,3.80E-15
2010315B03RIK,-0.973657918,5.16E-11
2010320M18RIK,-0.684726597,0.025161114
2200002D01RIK,2.643470023,0.039440991
2210010B09RIK,-0.652686157,0.001331447
2210010N04RIK,-0.543120117,0.000318639
2210010N04RIK,-0.788436817,0.047762173
2210011G09RIK,-1.096244901,0.047656089
2210011K15RIK,3.185236003,0.02480715
2210016L21RIK,-0.626305054,0.000212519
2210016L21RIK,-0.619016117,1.26E-11
2210018M11RIK,-0.50124854,0.03205146
2210408F21RIK,-1.169767,3.84E-17
2210408I21RIK,-0.666016655,0.01597583
2210408K08,-0.66630783,0.00360381
2300009A05RIK,-0.557684017,0.002675978
2310001H17RIK,3.138687677,1.19E-07
2310002J21RIK,-0.600964089,0.019110782
2310009A05RIK,-0.514958803,0.022641212
2310014H01RIK,1.854600406,0.006884916
2310015A10RIK,-0.603175346,0.000391162
2310015A16RIK,4.458221027,0.044233359
2310016D03RIK,2.576466952,0.002273301
2310016D23RIK,2.703460069,0.002711532
2310022B05RIK,-0.675239126,0.000134557
2310022B05RIK,-1.169057904,9.79E-36
2310022B05RIK,-1.100166156,3.33E-05
2310026I22RIK,-1.248458656,0.020380556
2310030A07RIK,4.540907818,0.029099998
2310039L15RIK,3.606884429,0.006986328
2310043O21RIK,2.628551464,0.015040303
2310044G17RIK,-0.804204407,0.003124015
2310044G17RIK,-0.750795584,0.003291085
2310044H10RIK,-0.722067222,0.007059462
2310045A20RIK,-0.720532524,0.001161241
